Author,Npost
1000331.female.37.indUnk.Leo.xml,13
1000866.female.17.Student.Libra.xml,771
1004904.male.23.Arts.Capricorn.xml,52
1005076.female.25.Arts.Cancer.xml,85
1005545.male.25.Engineering.Sagittarius.xml,80
1007188.male.48.Religion.Libra.xml,21
100812.female.26.Architecture.Aries.xml,53
1008329.female.16.Student.Pisces.xml,116
1009572.male.25.indUnk.Cancer.xml,8
1011153.female.27.Technology.Virgo.xml,13
1011289.female.25.indUnk.Libra.xml,270
1011311.female.17.indUnk.Scorpio.xml,294
1013637.male.17.RealEstate.Virgo.xml,512
1015252.female.23.indUnk.Pisces.xml,123
1015556.male.34.Technology.Virgo.xml,386
1016560.male.41.Publishing.Sagittarius.xml,31
1016738.male.26.Publishing.Libra.xml,242
1016787.female.24.Communications-Media.Leo.xml,4
1019224.female.27.RealEstate.Libra.xml,125
1019622.female.24.indUnk.Aquarius.xml,66
1019710.male.16.Student.Pisces.xml,77
1021779.female.25.indUnk.Scorpio.xml,175
1022037.male.23.indUnk.Cancer.xml,234
1022086.female.17.Student.Cancer.xml,147
1024234.female.17.indUnk.Libra.xml,46
1025783.female.17.Student.Gemini.xml,204
1026164.female.23.Education.Aries.xml,131
1026443.female.15.Student.Scorpio.xml,2
1028027.female.16.indUnk.Libra.xml,63
1028257.male.26.Education.Aries.xml,18
1029959.male.17.indUnk.Aries.xml,83
1031806.male.17.Technology.Sagittarius.xml,408
1032153.male.27.Technology.Pisces.xml,201
1032591.female.24.Banking.Aquarius.xml,74
1032824.female.15.Student.Libra.xml,218
1034874.female.43.Publishing.Capricorn.xml,80
1039136.male.24.Student.Capricorn.xml,45
1039908.female.16.indUnk.Gemini.xml,10
1040084.male.17.indUnk.Taurus.xml,34
1042993.male.15.Student.Sagittarius.xml,114
1043329.male.23.Government.Pisces.xml,31
1043569.male.26.indUnk.Virgo.xml,64
1043785.female.26.Biotech.Leo.xml,7
1044338.female.23.Student.Leo.xml,215
1045289.female.25.Arts.Aquarius.xml,230
1045316.male.27.Non-Profit.Capricorn.xml,46
1045831.male.23.Student.Libra.xml,103
1046946.female.25.Arts.Virgo.xml,716
1047241.male.16.indUnk.Aries.xml,297
1050060.female.24.Student.Pisces.xml,132
1051122.female.17.Student.Libra.xml,6
1052611.male.23.Student.Aries.xml,43
1054833.female.24.indUnk.Scorpio.xml,238
1055228.female.16.Student.Cancer.xml,8
1056232.female.17.indUnk.Aquarius.xml,1107
1056581.female.26.indUnk.Leo.xml,4
105748.female.26.Student.Scorpio.xml,1095
1057539.female.33.Telecommunications.Pisces.xml,276
1057945.female.26.indUnk.Leo.xml,11
1058543.female.24.indUnk.Sagittarius.xml,74
1060087.male.27.Arts.Leo.xml,22
1060727.female.23.indUnk.Aries.xml,3
106160.female.27.Student.Sagittarius.xml,18
1062652.female.25.indUnk.Aries.xml,3
1063313.female.16.Student.Libra.xml,196
1065973.female.23.indUnk.Virgo.xml,12
1066127.male.23.Technology.Taurus.xml,67
106651.male.25.indUnk.Leo.xml,1265
1067319.male.26.Non-Profit.Aries.xml,97
106738.male.25.Internet.Leo.xml,116
1068622.male.24.Government.Aquarius.xml,20
1068893.male.25.indUnk.Leo.xml,342
1070326.male.24.Government.Aquarius.xml,100
1070540.female.36.Technology.Scorpio.xml,84
1073035.female.45.Education.Cancer.xml,2
1074721.male.23.Student.Aquarius.xml,14
1075230.male.17.Student.Cancer.xml,253
1076134.female.25.Arts.Gemini.xml,15
1076363.male.40.Communications-Media.Pisces.xml,196
1077758.male.24.Student.Scorpio.xml,105
1077954.male.26.indUnk.Gemini.xml,44
1078077.female.38.Arts.Aries.xml,52
1078410.male.16.indUnk.Cancer.xml,1731
1079521.female.24.indUnk.Capricorn.xml,142
108212.female.27.Student.Taurus.xml,1094
1083777.male.27.Technology.Libra.xml,17
1084212.female.35.indUnk.Capricorn.xml,284
1084668.female.15.Student.Capricorn.xml,151
1084944.female.26.Arts.Leo.xml,11
1086142.female.24.Arts.Leo.xml,64
1086405.male.25.Manufacturing.Taurus.xml,187
1087356.female.23.indUnk.Virgo.xml,171
108780.female.25.indUnk.Leo.xml,36
1088145.male.26.indUnk.Capricorn.xml,90
1088782.male.27.Engineering.Aquarius.xml,38
1089137.female.17.indUnk.Taurus.xml,199
1089661.female.26.indUnk.Libra.xml,348
1089670.female.17.Student.Sagittarius.xml,12
1090235.female.17.indUnk.Aquarius.xml,4
1090547.male.14.Religion.Capricorn.xml,2
1091067.male.24.Technology.Cancer.xml,6
1091544.male.36.indUnk.Pisces.xml,95
1091574.female.15.Student.Taurus.xml,79
1091912.female.14.Student.Leo.xml,79
1092135.female.17.indUnk.Leo.xml,130
1092346.female.16.indUnk.Gemini.xml,147
1093457.male.16.Technology.Virgo.xml,1533
1093691.male.17.Technology.Taurus.xml,1533
1094221.female.23.Education.Leo.xml,134
109656.male.36.LawEnforcement-Security.Pisces.xml,428
1097617.female.25.Communications-Media.Sagittarius.xml,19
1097941.female.25.Marketing.Pisces.xml,9
1098293.male.25.Engineering.Leo.xml,28
1098541.male.15.indUnk.Capricorn.xml,339
1100515.female.17.Student.Aries.xml,11
1101683.female.16.Arts.Libra.xml,82
1102011.male.15.Student.Sagittarius.xml,46
1103016.male.16.Student.Gemini.xml,186
1103084.male.34.Education.Pisces.xml,270
1103171.female.25.indUnk.Aries.xml,89
1103575.female.17.indUnk.Scorpio.xml,558
1104980.male.23.Sports-Recreation.Sagittarius.xml,71
1105342.female.33.Internet.Gemini.xml,187
1107146.female.16.Student.Libra.xml,2237
1107975.male.17.Student.Pisces.xml,9
1108003.male.36.Internet.Pisces.xml,10
110854.male.25.indUnk.Virgo.xml,3
1110091.male.36.Technology.Virgo.xml,3
1110189.male.23.indUnk.Aries.xml,21
1110391.male.27.Law.Cancer.xml,67
1110574.female.23.Arts.Aquarius.xml,38
1111991.female.33.indUnk.Taurus.xml,8
1112526.female.24.indUnk.Sagittarius.xml,101
1112708.female.17.indUnk.Cancer.xml,375
1112886.female.15.Student.Capricorn.xml,250
1113052.female.25.indUnk.Cancer.xml,28
1113541.male.26.indUnk.Aries.xml,4
1113692.female.25.Non-Profit.Gemini.xml,7
1114816.male.47.Technology.Pisces.xml,39
1115374.male.17.indUnk.Scorpio.xml,94
1117055.female.17.Student.Aquarius.xml,22
1117656.male.17.indUnk.Pisces.xml,24
1119280.female.27.indUnk.Gemini.xml,731
1119650.female.23.Student.Cancer.xml,733
1119851.male.17.indUnk.Virgo.xml,5
112265.female.23.indUnk.Taurus.xml,15
11253.male.26.Technology.Aquarius.xml,7
1125373.male.17.Student.Taurus.xml,92
1125433.male.48.Military.Aquarius.xml,102
1125459.female.16.indUnk.Libra.xml,152
1125546.male.27.Law.Aries.xml,736
1127124.male.25.indUnk.Gemini.xml,657
1130595.male.16.indUnk.Sagittarius.xml,36
1131329.male.13.indUnk.Leo.xml,288
1131517.female.17.indUnk.Gemini.xml,203
1131982.male.24.Government.Libra.xml,215
1132409.female.41.indUnk.Taurus.xml,9
113390.male.24.Museums-Libraries.Gemini.xml,24
1134486.male.45.indUnk.Aquarius.xml,14
1135325.male.27.Science.Libra.xml,16
1135724.male.34.Internet.Cancer.xml,53
1135804.male.33.indUnk.Libra.xml,9
1136785.male.17.Student.Pisces.xml,54
1137273.male.16.Student.Aquarius.xml,8
1137547.female.15.Arts.Scorpio.xml,5
1138306.female.17.indUnk.Gemini.xml,4
1142598.male.24.indUnk.Aquarius.xml,8
1143104.male.23.Student.Gemini.xml,122
1143324.male.26.Internet.Virgo.xml,541
1144172.male.17.indUnk.Libra.xml,406
1145753.male.25.indUnk.Virgo.xml,51
114645.male.17.Student.Virgo.xml,219
1146482.female.33.indUnk.Virgo.xml,99
1149009.male.25.Technology.Gemini.xml,34
1149422.female.34.Publishing.Scorpio.xml,407
1149997.female.27.indUnk.Leo.xml,49
1151815.male.25.Education.Leo.xml,113
1152012.female.16.indUnk.Leo.xml,182
1153868.male.14.indUnk.Gemini.xml,12
1155029.female.17.Student.Leo.xml,99
1155573.male.23.indUnk.Leo.xml,79
1156278.male.37.Internet.Taurus.xml,87
1157144.female.17.Student.Libra.xml,1087
1157178.female.26.indUnk.Gemini.xml,11
1157338.male.25.Technology.Virgo.xml,24
1157658.male.25.indUnk.Leo.xml,17
1158355.male.15.Student.Leo.xml,258
1158868.female.24.Student.Leo.xml,3
1159057.male.25.Advertising.Scorpio.xml,18
1160168.male.25.Science.Aries.xml,448
1162051.female.23.LawEnforcement-Security.Scorpio.xml,22
1162265.male.17.Student.Aries.xml,338
1163257.female.24.indUnk.Gemini.xml,44
1163948.female.24.indUnk.Capricorn.xml,101
1164965.male.16.Student.Virgo.xml,192
1166708.female.26.Arts.Aquarius.xml,264
1169141.male.33.Arts.Capricorn.xml,514
1169202.male.26.Science.Libra.xml,14
1169580.female.44.Technology.Taurus.xml,3
1170834.female.27.Communications-Media.Sagittarius.xml,10
1171545.female.17.Non-Profit.Cancer.xml,32
1171643.male.16.indUnk.Scorpio.xml,54
1173156.male.24.indUnk.Virgo.xml,21
1174200.male.17.indUnk.Libra.xml,13
11762.female.25.Student.Aries.xml,20
1178497.female.23.indUnk.Libra.xml,37
1178991.male.24.Technology.Virgo.xml,15
1180158.male.23.Consulting.Gemini.xml,161
1180573.female.26.Education.Sagittarius.xml,42
1183666.male.23.Internet.Aries.xml,16
1184801.male.23.Internet.Aries.xml,175
1185193.female.17.Student.Leo.xml,109
1187430.male.23.Internet.Capricorn.xml,7
118791.male.33.Internet.Virgo.xml,51
1188176.female.35.Education.Leo.xml,140
1190695.male.16.Student.Virgo.xml,7
1192293.male.25.Student.Cancer.xml,70
1193364.female.16.indUnk.Aries.xml,27
1194367.female.17.Law.Scorpio.xml,22
1195073.female.15.Student.Libra.xml,58
1196077.male.36.Communications-Media.Taurus.xml,43
1196970.male.16.indUnk.Sagittarius.xml,224
1197086.male.16.Student.Aries.xml,5
1197361.female.34.indUnk.Taurus.xml,408
1197937.female.23.Student.Scorpio.xml,224
1198592.female.24.Accounting.Pisces.xml,87
1199195.male.26.LawEnforcement-Security.Taurus.xml,2
1199948.male.16.indUnk.Libra.xml,10
1202874.male.16.Student.Capricorn.xml,93
1203229.male.24.Internet.Scorpio.xml,37
1204495.male.17.Student.Leo.xml,199
1205193.female.15.indUnk.Scorpio.xml,64
1207055.male.15.Arts.Aquarius.xml,65
1207422.female.40.Law.Gemini.xml,169
1208187.male.17.indUnk.Pisces.xml,27
1208423.male.23.Engineering.Aries.xml,7
1209241.male.25.Government.Virgo.xml,61
1209613.female.35.indUnk.Capricorn.xml,148
1209865.female.33.Architecture.Virgo.xml,202
1211557.male.16.Student.Virgo.xml,1
1211653.male.24.BusinessServices.Taurus.xml,16
1214462.male.37.indUnk.Virgo.xml,22
1216517.male.24.Education.Leo.xml,265
1217528.male.26.Advertising.Libra.xml,33
1217864.male.24.Non-Profit.Virgo.xml,62
1220898.male.34.indUnk.Taurus.xml,68
1221843.male.24.indUnk.Taurus.xml,208
122217.male.37.indUnk.Leo.xml,593
1222749.male.37.indUnk.Capricorn.xml,70
1223044.male.16.indUnk.Sagittarius.xml,7
