id,author,bookName
1,Thomas Jefferson,The Declaration of Independence of the United States of America
10002,William Hope Hodgson,The House on the Borderland
10003,Mary King Waddington,"My First Years As A Frenchwoman, 1876-1879"
10007,J. Sheridan LeFanu,Carmilla
1001,Dante Alighieri,"Divine Comedy, Inferno"
10010,William Hayley,The Eulogies of Howard
10012,John Muir,The Mountains of California
1002,Dante Alighieri,"Divine Comedy, Purgatory"
10021,Ada Leverson,Tenterhooks
10023,Charles S. Brooks,There's Pippins And Cheese To Come
10025,Fannie Hurst,Gaslight Sonatas
10027,Harold Avery,The Triple Alliance
10029,William Magnay,The Hunt Ball Mystery
1003,Dante Alighieri,"Divine Comedy, Paradise"
10037,Edith Ferguson Black,A Beautiful Possibility
10038,Elizabeth Robins,The Magnetic North
1004,Dante Alighieri,"Divine Comedy, Complete"
10041,James Branch Cabell,The Rivet in Grandfather's Neck
10044,William Wood,The Father of British Canada: A Chronicle of Carleton
10045,H. Irving Hancock,Dave Darrin's Second Year at Annapolis
10046,John Buchan,Salute to Adventurers
10048,Janet D. Wheeler,Billie Bradley and Her Inheritance
10049,Margaret O. Wilson Oliphant,Old Lady Mary
1005,Dante Alighieri,"Divine Comedy, Hell"
10050,Margaret O. Wilson Oliphant,A Little Pilgrim
10051,Margaret O. Wilson Oliphant,Little Pilgrim: Further Experiences
10052,Margaret O. Wilson Oliphant,"The Open Door, and the Portrait"
10059,Edith Van Dyne,Aunt Jane's Nieces on Vacation
1006,Dante Alighieri,"Divine Comedy, Purgatory"
10060,Thomas H. Huxley,Discourses
10064,Jeffery Farnol,Beltane The Smith
10065,James M. Beck,The Constitution of the United States
10066,Max Brand,Gunman's Reckoning
10067,Burton Egbert Stevenson,The Mystery Of The Boule Cabinet
1007,Dante Alighieri,"Divine Comedy, Paradise"
10070,Edward Eggleston,Stories of Great Americans for Little Americans
10076,Harold Bindloss,Lister's Great Adventure
1008,Dante Alighieri,"Divine Comedy, Complete"
10081,Robert L. Drake,The Boy Allies at Jutland
10083,Anna Katharine Green,The House of the Whispering Pines
10084,James Oliver Curwood,Kazan
10086,James Otis,The Minute Boys of the Mohawk Valley
10093,George MacDonald,The History of Gutta-Percha Willie
10094,Burton Egbert Stevenson,A Soldier of Virginia
10095,Richard Garnett,"The Twilight of the Gods, and Other Tales"
10096,Euripides,The Trojan Women
10097,Edward Carpenter,The Healing of Nations and the Hidden Sources of Their Strife
10099,Mrs. Humphry Ward,Towards The Goal
10100,John Nichol,Byron
10101,W. H. Hudson,A Little Boy Lost
10102,William Le Queux,The Czar's Spy
10110,Louis Tracy,The Postmaster's Daughter
10111,Kate Dickinson Sweetser,Boys and Girls from Thackeray
10115,Alice Morse Earle,"Two Centuries of Costume in America, Vol. 1 (1620-1820)"
10116,Charles Kingsley,All Saints' Day and Other Sermons
10118,T. F. Thiselton-Dyer,The Folk-lore of Plants
10120,Edward Hutton,England of My Heart - Spring
10122,Robert Graves,Fairies and Fusiliers
10123,Edith Van Dyne,Aunt Jane's Nieces
10124,Edith Van Dyne,Aunt Jane's Nieces and Uncle John
10126,Edwin Waugh,Home-Life of the Lancashire Factory Folk during the Cotton Famine
1013,H. G. Wells,The First Men In The Moon
10132,Henry Seton Merriman,The Sowers
1014,B. M. Bower,The Lure of the Dim Trails
10141,William Cullen Bryant,"A Discourse on the Life, Character and Writings of Gulian Crommelin Verplanck"
10142,Johanna Spyri,Maezli
10143,Sir Owen Seaman,"Punch, Vol. 153, July 11, 1917, ed"
10148,Howard Pyle,The Merry Adventures of Robin Hood
10149,James Fenimore Cooper,Home as Found
1015,"Francis Parkman, Jr.",The Oregon Trail
10150,Bram Stoker,Dracula's Guest
10157,Billy Murray ],"Audio: Which Switch is the Switch, Miss, for Ipswich?"
10159,Walter Raleigh,England and the War
10162,Cassius Dio,"Dio's Rome, Vol. III"
1017,Oscar Wilde,The Soul of Man Under Socialism
1018,Charles Kingsley,The Water-Babie
10191,Cal Stewart,Audio: Fourth of July at Punkin Center
102,Mark Twain (Samuel Clemens),The Tragedy of Pudd'nhead Wilson
1020,Amy Lowell,Sword Blades and Poppy Seed
10201,Zane Grey,The Desert of Wheat
10206,Thomas A. Edison,Audio: The Liver Complaint Story
10207,William Jennings Bryan,Audio: The Railroad Question
10209,Thomas A. Edison,Audio: Electricity and Progress
1021,Vachel Lindsay,The Congo and Other Poems
10210,Randall Parrish,Wolves of the Sea
10211,Lawrence J. Leslie,At Whispering Pine Lodge
10212,George W. Peck,Peck's Bad Boy at the Circus
10213,Jackson Gregory,The Everlasting Whisper
10214,Thomas Taylor,Introduction to the Philosophy and Writings of Plato
10216,Marietta Holley,Poems
1022,Henry David Thoreau,Walking
10220,Howard R. Garis,Daddy Takes Us Skating
10221,Nellie L. McClung,Purple Springs
10224,Mary F. Nixon-Roulet,"Kalitan, Our Little Alaskan Cousin"
10226,Marshall Saunders,Beautiful Joe
1023,Charles Dickens,Bleak House
10234,George Washington Cable,Old Creole Days
10237,Thomas A. Edison,"Audio: Siegel-Myers School of Music, Vocal Record F"
10238,Thomas A. Edison,Audio: Ediphone School Record No. 2
1024,Robert Louis Stevenson and Lloyd Osbourne,The Wrecker
10240,Losey's Orchestra,Audio: Plaque No. 1
10241,Losey's Orchestra,Audio: Plaque No. 2
10242,Losey's Orchestra,Audio: Plaque No. 6
10251,Charles Kingsley,Town Geology
10254,Thomas A. Watson,Audio: The Birth of the Telephone
10267,Captain Quincy Allen,The Outdoor Chums
10268,Carolyn Wells,Patty at Home
1027,Zane Grey,The Lone Star Ranger
1029,Jack London,The Night-Born
10295,Fisk University Jubilee Quartette,Audio: The Band of Gideon
10296,Fisk University Jubilee Quartette,"Audio: Swing Low, Sweet Chariot"
103,Jules Verne,Around the World in 80 Days
10305,Billy Murray ],Audio: Alexander's Ragtime Band
10309,Arthur Sullivan ],Audio: The Lost Chord
1031,Oscar Wilde,Charmides and Other Poems
10310,Arthur Sullivan ],Audio: After Dinner Toast at Little Menlo
10311,Thomas A. Edison,Audio: Around the World on the Phonograph
10316,Percy Keese Fitzhugh,Roy Blakeley's Adventures in Camp
10317,Alice Emerson,Betty Gordon at Boarding School
10318,William Godwin,Damon and Delia
10319,H. Irving Hancock,Dave Darrin's Third Year at Annapolis
1032,Henry James,The Pupil
10320,Sophie May,Dotty Dimple at Play
10323,Edward Stratemeyer,The Rover Boys at College
10324,Max Brand,Bull Hunter
10325,Charles Kingsley,The Gospel of the Pentateuch
