author,book,special,directory
Amanda Minnie Douglas,23780,True,/home/isaac/Documents/Github/Author-identification/gutenberg/2/3/7/8/23780/23780.txt
Amanda Minnie Douglas,23781,False,/home/isaac/Documents/Github/Author-identification/gutenberg/2/3/7/8/23780/23780.txt
Amanda Minnie Douglas,20722,False,/home/isaac/Documents/Github/Author-identification/gutenberg/2/0/7/2/20722/20722.txt
Frances Elizabeth Barrow,28493,True,/home/isaac/Documents/Github/Author-identification/gutenberg/2/8/4/9/28493/28493.txt
Frances Elizabeth Barrow,31483,False,/home/isaac/Documents/Github/Author-identification/gutenberg/3/1/4/8/31483/31483.txt
Frances Elizabeth Barrow,29813,False,/home/isaac/Documents/Github/Author-identification/gutenberg/2/9/8/1/29813/29813.txt
"Elizabeth-Charlotte, Duchesse d'Orleans",3855,True,/home/isaac/Documents/Github/Author-identification/gutenberg/3/8/5/3855/3855.txt
"Elizabeth-Charlotte, Duchesse d'Orleans",3858,False,/home/isaac/Documents/Github/Author-identification/gutenberg/3/8/5/3858/3858.txt
"Elizabeth-Charlotte, Duchesse d'Orleans",3857,False,/home/isaac/Documents/Github/Author-identification/gutenberg/3/8/5/3857/3857.txt
Arthur Colton,48147,True,/home/isaac/Documents/Github/Author-identification/gutenberg/4/8/1/4/48147/48147-0.txt
Arthur Colton,41963,False,/home/isaac/Documents/Github/Author-identification/gutenberg/4/1/9/6/41963/41963.txt
Arthur Colton,50272,False,/home/isaac/Documents/Github/Author-identification/gutenberg/5/0/2/7/50272/50272-0.txt
John S. C. Abbott,14243,True,/home/isaac/Documents/Github/Author-identification/gutenberg/1/4/2/4/14243/14243.txt
John S. C. Abbott,24659,False,/home/isaac/Documents/Github/Author-identification/gutenberg/2/4/6/5/24659/24659.txt
John S. C. Abbott,23798,False,/home/isaac/Documents/Github/Author-identification/gutenberg/2/3/7/9/23798/23798.txt
Elizabeth Sandham,42572,True,/home/isaac/Documents/Github/Author-identification/gutenberg/4/2/5/7/42572/42572.txt
Elizabeth Sandham,42353,False,/home/isaac/Documents/Github/Author-identification/gutenberg/4/2/3/5/42353/42353.txt
Elizabeth Sandham,43270,False,/home/isaac/Documents/Github/Author-identification/gutenberg/4/3/2/7/43270/43270.txt
John William Draper,31345,True,/home/isaac/Documents/Github/Author-identification/gutenberg/3/1/3/4/31345/31345.txt
John William Draper,1185,False,/home/isaac/Documents/Github/Author-identification/gutenberg/1/1/8/1185/1185.txt
John William Draper,34051,False,/home/isaac/Documents/Github/Author-identification/gutenberg/3/4/0/5/34051/34051.txt
Samuel H. M. Byers,44296,True,/home/isaac/Documents/Github/Author-identification/gutenberg/4/4/2/9/44296/44296.txt
Samuel H. M. Byers,41500,False,/home/isaac/Documents/Github/Author-identification/gutenberg/4/1/5/0/41500/41500.txt
Samuel H. M. Byers,40477,False,/home/isaac/Documents/Github/Author-identification/gutenberg/4/0/4/7/40477/40477.txt
Larry Evans,29646,True,/home/isaac/Documents/Github/Author-identification/gutenberg/2/9/6/4/29646/29646.txt
Larry Evans,18829,False,/home/isaac/Documents/Github/Author-identification/gutenberg/1/8/8/2/18829/18829.txt
Larry Evans,18894,False,/home/isaac/Documents/Github/Author-identification/gutenberg/1/8/8/9/18894/18894.txt
James Weir,38348,True,/home/isaac/Documents/Github/Author-identification/gutenberg/3/8/3/4/38348/38348.txt
James Weir,26071,False,/home/isaac/Documents/Github/Author-identification/gutenberg/2/6/0/7/26071/26071.txt
James Weir,21608,False,/home/isaac/Documents/Github/Author-identification/gutenberg/2/1/6/0/21608/21608.txt
