author,book,special,directory
Amanda Minnie Douglas,43659,False,/home/isaac/Documents/Github/Author-identification/gutenberg/4/3/6/5/43659/43659.txt
Amanda Minnie Douglas,28648,False,/home/isaac/Documents/Github/Author-identification/gutenberg/2/8/6/4/28648/28648.txt
Amanda Minnie Douglas,23786,False,/home/isaac/Documents/Github/Author-identification/gutenberg/2/3/7/8/23786/23786.txt
Frances Elizabeth Barrow,28802,False,/home/isaac/Documents/Github/Author-identification/gutenberg/2/8/8/0/28802/28802.txt
Frances Elizabeth Barrow,33191,False,/home/isaac/Documents/Github/Author-identification/gutenberg/3/3/1/9/33191/33191.txt
Frances Elizabeth Barrow,31483,False,/home/isaac/Documents/Github/Author-identification/gutenberg/3/1/4/8/31483/31483.txt
"Elizabeth-Charlotte, Duchesse d'Orleans",3857,False,/home/isaac/Documents/Github/Author-identification/gutenberg/3/8/5/3857/3857.txt
"Elizabeth-Charlotte, Duchesse d'Orleans",3855,False,/home/isaac/Documents/Github/Author-identification/gutenberg/3/8/5/3855/3855.txt
"Elizabeth-Charlotte, Duchesse d'Orleans",3858,False,/home/isaac/Documents/Github/Author-identification/gutenberg/3/8/5/3858/3858.txt
Arthur Colton,50269,False,/home/isaac/Documents/Github/Author-identification/gutenberg/5/0/2/6/50269/50269-0.txt
Arthur Colton,50271,False,/home/isaac/Documents/Github/Author-identification/gutenberg/5/0/2/7/50271/50271-0.txt
Arthur Colton,50270,False,/home/isaac/Documents/Github/Author-identification/gutenberg/5/0/2/7/50270/50270-0.txt
John S. C. Abbott,29603,False,/home/isaac/Documents/Github/Author-identification/gutenberg/2/9/6/0/29603/29603.txt
John S. C. Abbott,30406,False,/home/isaac/Documents/Github/Author-identification/gutenberg/3/0/4/0/30406/30406.txt
John S. C. Abbott,16070,False,/home/isaac/Documents/Github/Author-identification/gutenberg/1/6/0/7/16070/16070.txt
Elizabeth Sandham,43270,False,/home/isaac/Documents/Github/Author-identification/gutenberg/4/3/2/7/43270/43270.txt
Elizabeth Sandham,42353,False,/home/isaac/Documents/Github/Author-identification/gutenberg/4/2/3/5/42353/42353.txt
Elizabeth Sandham,42572,False,/home/isaac/Documents/Github/Author-identification/gutenberg/4/2/5/7/42572/42572.txt
John William Draper,34051,False,/home/isaac/Documents/Github/Author-identification/gutenberg/3/4/0/5/34051/34051.txt
John William Draper,1185,False,/home/isaac/Documents/Github/Author-identification/gutenberg/1/1/8/1185/1185.txt
John William Draper,31345,False,/home/isaac/Documents/Github/Author-identification/gutenberg/3/1/3/4/31345/31345.txt
Samuel H. M. Byers,41500,False,/home/isaac/Documents/Github/Author-identification/gutenberg/4/1/5/0/41500/41500.txt
Samuel H. M. Byers,44296,False,/home/isaac/Documents/Github/Author-identification/gutenberg/4/4/2/9/44296/44296.txt
Samuel H. M. Byers,40477,False,/home/isaac/Documents/Github/Author-identification/gutenberg/4/0/4/7/40477/40477.txt
Larry Evans,18829,False,/home/isaac/Documents/Github/Author-identification/gutenberg/1/8/8/2/18829/18829.txt
Larry Evans,29646,False,/home/isaac/Documents/Github/Author-identification/gutenberg/2/9/6/4/29646/29646.txt
Larry Evans,18894,False,/home/isaac/Documents/Github/Author-identification/gutenberg/1/8/8/9/18894/18894.txt
James Weir,26071,False,/home/isaac/Documents/Github/Author-identification/gutenberg/2/6/0/7/26071/26071.txt
James Weir,21608,False,/home/isaac/Documents/Github/Author-identification/gutenberg/2/1/6/0/21608/21608.txt
James Weir,38348,False,/home/isaac/Documents/Github/Author-identification/gutenberg/3/8/3/4/38348/38348.txt
